x_center,y_center,z_center,i,j,k,Density,Cut,Mo,As,Recu,Dure,Cate,Cate_3,Cate_2,Cate_1,Cate_0,Cate_9999
2910,3310,2264,0,1,24,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2282,0,1,25,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2300,0,1,26,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2318,0,1,27,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2336,0,1,28,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2354,0,1,29,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2372,0,1,30,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2390,0,1,31,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2408,0,1,32,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2426,0,1,33,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2444,0,1,34,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2462,0,1,35,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2480,0,1,36,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2498,0,1,37,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2516,0,1,38,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2534,0,1,39,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2552,0,1,40,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2570,0,1,41,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2588,0,1,42,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2606,0,1,43,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2624,0,1,44,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2642,0,1,45,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2660,0,1,46,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2678,0,1,47,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2696,0,1,48,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2714,0,1,49,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2732,0,1,50,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2750,0,1,51,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2768,0,1,52,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2786,0,1,53,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2804,0,1,54,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2822,0,1,55,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2840,0,1,56,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2858,0,1,57,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2876,0,1,58,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2894,0,1,59,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2912,0,1,60,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2930,0,1,61,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2948,0,1,62,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2966,0,1,63,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,2984,0,1,64,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,3002,0,1,65,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3330,1832,0,2,0,2.71,0,0,0,80.84,12.7,2,0,100,0,0,0
2910,3330,1850,0,2,1,2.71,0.27,0,0.03,80.84,12.7,2,0,100,0,0,0
2910,3330,1868,0,2,2,2.71,0.13,0,0.03,80.84,12.7,3,100,0,0,0,0
2910,3330,1886,0,2,3,2.71,0.12,0,0.09,80.84,12.7,3,100,0,0,0,0
2910,3330,1904,0,2,4,2.71,0.13,0,0.07,74.67,13.76,3,100,0,0,0,0
2910,3330,1922,0,2,5,2.48,0.31,0,0.04,74.67,13.76,3,100,0,0,0,0
2910,3330,1940,0,2,6,2.48,0.24,0,0.06,74.67,13.76,3,100,0,0,0,0
